Name,PredictedFinPRice,,
Porsche Macan,7137000,,
Porsche 718,8715720,,
Porsche Cayenne,12136320,,
Porsche Cayenne Coupe,13449900,,
Porsche Panamera,14735940,,
Porsche 911,14300760,,
Audi Q2,3568500,,
Audi A4,4318080,,
Audi A6,5100360,,
Audi S5 Sportback,8063040,,
Audi Q8,10094580,,
Audi A8 L,16095420,,
Audi RS7 Sportback,19824060,,
Audi RS Q8,21116220,,
Mercedes Benz A-Class Limousine,4069260,,
Mercedes Benz C Class,4213140,,
Mercedes Benz GLC Class,5187000,,
Mercedes Benz E Class,6486300,,
Mercedes Benz GLC Coupe,6798060,,
Mercedes Benz V-Class,7251240,,
Mercedes Benz GLE,7878360,,
Mercedes Benz E-Class All-Terrain,7878420,,
Mercedes Benz C Coupe,8176440,,
Mercedes Benz AMG GLC 43 Coupe,8315940,,
Mercedes Benz CLS,8811000,,
Mercedes Benz EQC,10613340,,
Mercedes Benz GLS,10678500,,
Mercedes Benz AMG GLE Coupe,13009320,,
Mercedes Benz S Class,12107040,,
Mercedes Benz G Class,16566600,,
Mercedes Benz AMG GT 4-Door Coupe,24711180,,
Mercedes Benz AMG GT,22012080,,
BMW X1,3589920,,
BMW 2 Series Gran Coupe,3865320,,
BMW 3 Series,4344600,,
BMW 3 Series Gran Limousine,5252280,,
BMW 5 Series,5303280,,
BMW X3,5098320,,
BMW X4,6363960,,
BMW Z4,6833100,,
BMW 6 Series GT,6924840,,
BMW X5,7475580,,
BMW M2,8668800,,
BMW X7,9484740,,
BMW X6,9882480,,
BMW X3 M,10188420,,
BMW 8 Series,13513140,,
BMW 7 Series,12483120,,
BMW M5,14675760,,
BMW X5 M,19877040,,
BMW M8,22232940,,
Jaguar XE,4141440,,
Jaguar XF,5075940,,
Jaguar F-Pace,6592140,,
Jaguar F TYPE,9700920,,
Jaguar I-Pace,10801320,,
Volvo XC40,4069260,,
Volvo S60,4681200,,
Volvo S90,5293080,,
Volvo XC60,5395080,,
Volvo V90 Cross Country,6660720,,
Volvo XC90,8250660,,
Lexus ES,5767320,,
Lexus NX,5935620,,
Lexus RX,10601460,,
Lexus LS,19511940,,
Lexus LC 500h,21388500,,
Lexus LX,23752500,,
Ferrari Portofino,35695080,,
Ferrari F8 Tributo,40998300,,
Ferrari GTC4 Lusso,43446000,,
Ferrari 812,53032680,,
Rolls Royce Wraith,51019320,,
Rolls Royce Dawn,60392160,,
Rolls Royce Cullinan,70880160,,
Rolls Royce Phantom VIII,96886560,,
Lamborghini Urus,31615620,,
Lamborghini Huracan,32839440,,
Maserati Ghibli,11728380,,
Maserati Levante,14479680,,
Maserati Quattroporte,16721040,,
Maserati GranTurismo,22946820,,
Maserati GranCabrio,27332220,,
Bentley Bentayga,41814240,,
MINI Cooper,3049380,,
MINI Countryman,3814320,,
MINI Cooper Convertible,4089660,,
MINI Clubman,4273260,,
Toyota Glanza,732600,,
Toyota Urban Cruiser,866880,,
Toyota Yaris,934200,,
Toyota Innova Crysta,1684860,,
Toyota Fortuner,3094260,,
Toyota Camry,4139640,,
Toyota Vellfire,8872800,,
MG Hector,1344000,,
MG Hector Plus,1389900,,
MG ZS EV,2129520,,
MG Gloster,3057540,,
Honda Amaze,634800,,
Honda Jazz,770340,,
Honda WR-V,879420,,
Honda City,894420,,
Honda All New City,1121820,,
Jeep Compass,1732740,,
Jeep Wrangler,5497080,,
Kia Sonet,692520,,
Kia Seltos,1008660,,
Kia Carnival,2544600,,
Hyundai Santro,398280,,
Hyundai Grand i10 Nios,529740,,
Hyundai Aura,604080,,
Hyundai i20,693420,,
Hyundai Venue,700380,,
Hyundai Verna,928920,,
Hyundai Creta,1019880,,
Hyundai Elantra,1543200,,
Hyundai Tucson,2299800,,
Hyundai Kona Electric,2423100,,
Volkswagen Polo,552600,,
Volkswagen Vento,886260,,
Volkswagen T-Roc,2177400,,
Volkswagen Tiguan AllSpace,3487920,,
Tata Tiago,346620,,
Tata Tigor,560460,,
Tata Altroz,580860,,
Tata Nexon,724020,,
Tata Tigor EV,977460,,
Tata Nexon EV,1426800,,
Tata Harrier,1427340,,
Tata Safari,1498200,,
Mahindra KUV100 NXT,497940,,
Mahindra XUV300,811140,,
Mahindra Bolero,777060,,
Mahindra Thar,1020240,,
Mahindra Marazzo,1187640,,
Mahindra Scorpio,1040280,,
Mahindra XUV500,1255380,,
Mahindra Alturas G4,2930160,,
Datsun redi-GO,391440,,
Datsun Go,406440,,
Datsun GO Plus,434400,,
Nissan Magnite,570120,,
Nissan Kicks,968880,,
Nissan GT-R,21662100,,
Renault Kwid,324420,,
Renault Triber,540540,,
Renault Kiger,555840,,
Renault Duster,876060,,
Citroen C5 Aircross,3049380,,
